5001 71770
1 4920 0.019231
1 4928 0.019231
1 4984 0.017241
1 4986 0.016949
1 4987 0.016949
1 4994 0.016667
4920 1 0.166667
4920 135 0.166667
4920 226 0.166667
4920 661 0.166667
4920 734 0.166667
4920 888 0.142857
4920 923 0.142857
4920 1235 0.142857
4920 1269 0.142857
4920 1520 0.125000
4920 1606 0.125000
4920 1615 0.125000
4920 1801 0.125000
4920 1992 0.111111
4920 2050 0.111111
4920 2252 0.111111
4920 2643 0.100000
4920 2835 0.090909
4920 2859 0.090909
4920 2866 0.090909
4920 3071 0.083333
4920 3208 0.076923
4920 3279 0.076923
4920 3346 0.071429
4920 3531 0.066667
4920 3544 0.066667
4920 3676 0.062500
4920 3752 0.058824
4920 3791 0.058824
4920 3872 0.055556
4920 4001 0.050000
4920 4134 0.050000
4920 4315 0.050000
4920 4377 0.050000
4920 4403 0.038462
4920 4406 0.035714
4920 4503 0.033333
4920 4519 0.032258
4920 4547 0.032258
4920 4608 0.030303
4920 4617 0.029412
4920 4625 0.029412
4920 4664 0.027778
4920 4789 0.023810
4920 4810 0.023256
4920 4873 0.020833
4920 4914 0.019608
4920 4928 0.019231
4920 4984 0.017241
4920 4986 0.016949
4920 4987 0.016949
4920 4994 0.016667
4928 1 0.166667
4928 226 0.166667
4928 498 0.166667
4928 923 0.142857
4928 1471 0.142857
4928 1520 0.125000
4928 1606 0.125000
4928 1615 0.125000
4928 1655 0.125000
4928 1801 0.125000
4928 1906 0.125000
4928 2050 0.111111
4928 2210 0.111111
4928 2252 0.111111
4928 2338 0.100000
4928 2643 0.100000
4928 2835 0.090909
4928 2859 0.090909
4928 2866 0.090909
4928 3071 0.083333
4928 3186 0.076923
4928 3208 0.076923
4928 3279 0.076923
4928 3346 0.071429
4928 3531 0.066667
4928 3544 0.066667
4928 3676 0.062500
4928 3752 0.058824
4928 3791 0.058824
4928 3872 0.055556
4928 4001 0.050000
4928 4134 0.050000
4928 4315 0.050000
4928 4377 0.050000
4928 4403 0.038462
4928 4406 0.035714
4928 4503 0.033333
4928 4519 0.032258
4928 4547 0.032258
4928 4608 0.030303
4928 4617 0.029412
4928 4625 0.029412
4928 4664 0.027778
4928 4789 0.023810
4928 4810 0.023256
4928 4873 0.020833
4928 4914 0.019608
4928 4920 0.019231
4928 4984 0.017241
4928 4986 0.016949
4928 4987 0.016949
4928 4994 0.016667
4984 1 0.166667
4984 135 0.166667
4984 498 0.166667
4984 734 0.166667
4984 888 0.142857
4984 1235 0.142857
4984 1269 0.142857
4984 1321 0.142857
4984 1471 0.142857
4984 1606 0.125000
4984 1615 0.125000
4984 1655 0.125000
4984 1798 0.125000
4984 1801 0.125000
4984 1906 0.125000
4984 1992 0.111111
4984 2050 0.111111
4984 2113 0.111111
4984 2210 0.111111
4984 2252 0.111111
4984 2338 0.100000
4984 2603 0.100000
4984 2643 0.100000
4984 2835 0.090909
4984 2859 0.090909
4984 2866 0.090909
4984 3071 0.083333
4984 3208 0.076923
4984 3279 0.076923
4984 3346 0.071429
4984 3531 0.066667
4984 3544 0.066667
4984 3676 0.062500
4984 3752 0.058824
4984 3791 0.058824
4984 3872 0.055556
4984 4001 0.050000
4984 4134 0.050000
4984 4315 0.050000
4984 4377 0.050000
4984 4403 0.038462
4984 4406 0.035714
4984 4503 0.033333
4984 4519 0.032258
4984 4547 0.032258
4984 4608 0.030303
4984 4617 0.029412
4984 4625 0.029412
4984 4664 0.027778
4984 4789 0.023810
4984 4810 0.023256
4984 4873 0.020833
4984 4914 0.019608
4984 4920 0.019231
4984 4928 0.019231
4984 4986 0.016949
4984 4987 0.016949
4984 4994 0.016667
4986 1 0.166667
4986 135 0.166667
4986 226 0.166667
4986 498 0.166667
4986 661 0.166667
4986 734 0.166667
4986 888 0.142857
4986 923 0.142857
4986 1269 0.142857
4986 1321 0.142857
4986 1471 0.142857
4986 1520 0.125000
4986 1606 0.125000
4986 1655 0.125000
4986 1801 0.125000
4986 1906 0.125000
4986 1992 0.111111
4986 2050 0.111111
4986 2113 0.111111
4986 2210 0.111111
4986 2252 0.111111
4986 2338 0.100000
4986 2603 0.100000
4986 2643 0.100000
4986 2835 0.090909
4986 2859 0.090909
4986 2866 0.090909
4986 3071 0.083333
4986 3208 0.076923
4986 3279 0.076923
4986 3346 0.071429
4986 3531 0.066667
4986 3544 0.066667
4986 3676 0.062500
4986 3752 0.058824
4986 3791 0.058824
4986 3872 0.055556
4986 4001 0.050000
4986 4134 0.050000
4986 4315 0.050000
4986 4377 0.050000
4986 4403 0.038462
4986 4406 0.035714
4986 4503 0.033333
4986 4519 0.032258
4986 4547 0.032258
4986 4608 0.030303
4986 4617 0.029412
4986 4625 0.029412
4986 4664 0.027778
4986 4789 0.023810
4986 4810 0.023256
4986 4873 0.020833
4986 4914 0.019608
4986 4920 0.019231
4986 4928 0.019231
4986 4984 0.017241
