5001 35892
1 2467 0.100000
1 2985 0.083333
1 3031 0.083333
1 3151 0.076923
1 3626 0.062500
1 4111 0.047619
2467 1 0.166667
2467 1122 0.142857
2467 1823 0.125000
2467 1988 0.111111
2467 2367 0.100000
2467 2369 0.100000
2467 2473 0.100000
2467 2854 0.090909
2467 2985 0.083333
2467 4111 0.047619
2985 1 0.166667
2985 462 0.166667
2985 1348 0.142857
2985 1465 0.142857
2985 2467 0.100000
2985 2473 0.100000
2985 2854 0.090909
2985 2883 0.090909
2985 3010 0.083333
2985 3151 0.076923
2985 3626 0.062500
2985 4111 0.047619
3031 1 0.166667
3031 462 0.166667
3031 780 0.166667
3031 1348 0.142857
3031 1465 0.142857
3031 2367 0.100000
3031 2369 0.100000
3031 2883 0.090909
3031 3010 0.083333
3031 3151 0.076923
3031 3626 0.062500
3031 4111 0.047619
3151 1 0.166667
3151 462 0.166667
3151 1348 0.142857
3151 1465 0.142857
3151 1823 0.125000
3151 1988 0.111111
3151 2369 0.100000
3151 2473 0.100000
3151 2854 0.090909
3151 2985 0.083333
3151 3010 0.083333
3151 3031 0.083333
3151 4111 0.047619
3626 1 0.166667
3626 1122 0.142857
3626 1348 0.142857
3626 1465 0.142857
3626 1823 0.125000
3626 1988 0.111111
3626 2367 0.100000
3626 2473 0.100000
3626 2676 0.090909
3626 2854 0.090909
3626 2883 0.090909
3626 2985 0.083333
3626 3010 0.083333
3626 3031 0.083333
3626 3317 0.071429
3626 4111 0.047619
4111 1 0.166667
4111 462 0.166667
4111 780 0.166667
4111 1122 0.142857
4111 1348 0.142857
4111 1465 0.142857
4111 1823 0.125000
4111 1988 0.111111
4111 2367 0.100000
4111 2369 0.100000
4111 2467 0.100000
4111 2473 0.100000
4111 2676 0.090909
4111 2854 0.090909
4111 2883 0.090909
4111 2985 0.083333
4111 3010 0.083333
4111 3031 0.083333
4111 3151 0.076923
4111 3317 0.071429
4111 3626 0.062500
2 2039 0.111111
2 2613 0.100000
2 2915 0.083333
2 3050 0.083333
2 3194 0.076923
2 3570 0.066667
2039 2 0.166667
2039 663 0.166667
2039 1960 0.125000
2039 2720 0.090909
2039 2915 0.083333
2039 3050 0.083333
2039 3194 0.076923
2039 3570 0.066667
2039 3613 0.062500
2613 2 0.166667
2613 401 0.166667
2613 663 0.166667
2613 732 0.166667
2613 2510 0.100000
2613 2690 0.090909
2613 2915 0.083333
2613 3194 0.076923
2613 3570 0.066667
2613 3613 0.062500
2915 2 0.166667
2915 1838 0.125000
2915 1901 0.125000
2915 1960 0.125000
2915 2039 0.111111
2915 2510 0.100000
2915 2613 0.100000
2915 2690 0.090909
