4039 88234
0 1 0.058824
0 2 0.100000
0 3 0.058824
0 4 0.100000
0 5 0.076923
0 6 0.166667
0 7 0.050000
0 8 0.125000
0 9 0.017544
0 10 0.100000
0 11 1.000000
0 12 1.000000
0 13 0.032258
0 14 0.066667
0 15 1.000000
0 16 0.111111
0 17 0.076923
0 18 1.000000
0 19 0.062500
0 20 0.066667
0 21 0.015385
0 22 0.090909
0 23 0.058824
0 24 0.062500
0 25 0.014493
0 26 0.014706
0 27 0.200000
0 28 0.076923
0 29 0.076923
0 30 0.058824
0 31 0.043478
0 32 0.166667
0 33 0.500000
0 34 0.200000
0 35 0.500000
0 36 0.090909
0 37 1.000000
0 38 0.111111
0 39 0.066667
0 40 0.022727
0 41 0.041667
0 42 0.500000
0 43 1.000000
0 44 0.166667
0 45 0.083333
0 46 0.200000
0 47 0.500000
0 48 0.045455
0 49 0.250000
0 50 0.090909
0 51 0.142857
0 52 0.500000
0 53 0.032258
0 54 0.125000
0 55 0.058824
0 56 0.012821
0 57 0.066667
0 58 0.083333
0 59 0.052632
0 60 0.125000
0 61 0.333333
0 62 0.038462
0 63 0.166667
0 64 0.142857
0 65 0.083333
0 66 0.066667
0 67 0.013158
0 68 0.111111
0 69 0.100000
0 70 0.500000
0 71 0.333333
0 72 0.041667
0 73 0.100000
0 74 1.000000
0 75 0.071429
0 76 0.333333
0 77 0.166667
0 78 0.111111
0 79 0.083333
0 80 0.043478
0 81 0.333333
0 82 0.029412
0 83 0.142857
0 84 0.076923
0 85 0.071429
0 86 0.166667
0 87 0.076923
0 88 0.050000
0 89 0.125000
0 90 0.500000
0 91 0.125000
0 92 0.047619
0 93 0.125000
0 94 0.045455
0 95 0.166667
0 96 0.111111
0 97 0.333333
0 98 0.020408
0 99 0.076923
0 100 0.111111
0 101 0.052632
0 102 0.166667
0 103 0.062500
0 104 0.031250
0 105 0.071429
0 106 0.125000
0 107 0.000957
0 108 0.076923
0 109 0.027027
0 110 0.200000
0 111 0.071429
0 112 0.333333
0 113 0.025000
0 114 1.000000
0 115 0.047619
0 116 0.058824
0 117 0.166667
0 118 0.027778
0 119 0.016129
0 120 0.250000
0 121 0.083333
0 122 0.015873
0 123 0.055556
0 124 0.250000
0 125 0.250000
0 126 0.142857
0 127 0.062500
0 128 0.035714
0 129 0.142857
0 130 0.062500
0 131 0.142857
0 132 0.062500
0 133 0.055556
0 134 0.052632
0 135 0.100000
0 136 0.007519
0 137 0.062500
0 138 0.500000
0 139 0.111111
0 140 0.090909
0 141 0.035714
0 142 0.023256
0 143 0.083333
0 144 0.066667
0 145 0.500000
0 146 0.100000
0 147 0.166667
0 148 0.050000
0 149 0.071429
0 150 0.090909
0 151 0.142857
0 152 0.200000
0 153 0.500000
0 154 0.500000
0 155 0.333333
0 156 0.083333
0 157 0.333333
0 158 0.040000
0 159 0.071429
0 160 0.500000
0 161 0.040000
0 162 0.125000
0 163 0.166667
0 164 0.333333
0 165 0.090909
0 166 0.250000
0 167 0.142857
0 168 0.090909
0 169 0.026316
0 170 0.021739
0 171 0.045455
0 172 0.024390
0 173 0.083333
0 174 0.250000
0 175 0.058824
0 176 0.071429
0 177 0.090909
0 178 0.076923
0 179 0.333333
0 180 0.050000
0 181 0.100000
0 182 0.333333
0 183 0.500000
